codepoint,status,emoji,name,group,sub_group
1F6A3 1F3FD 200D 2642 FE0F,fully-qualified,🚣🏽‍♂️,man rowing boat: medium skin tone,People & Body,person-sport
1F6A3 1F3FD 200D 2642,minimally-qualified,🚣🏽‍♂,man rowing boat: medium skin tone,People & Body,person-sport
1F6A3 1F3FE 200D 2642 FE0F,fully-qualified,🚣🏾‍♂️,man rowing boat: medium-dark skin tone,People & Body,person-sport
1F6A3 1F3FE 200D 2642,minimally-qualified,🚣🏾‍♂,man rowing boat: medium-dark skin tone,People & Body,person-sport
1F6A3 1F3FF 200D 2642 FE0F,fully-qualified,🚣🏿‍♂️,man rowing boat: dark skin tone,People & Body,person-sport
1F6A3 1F3FF 200D 2642,minimally-qualified,🚣🏿‍♂,man rowing boat: dark skin tone,People & Body,person-sport
1F6A3 200D 2640 FE0F,fully-qualified,🚣‍♀️,woman rowing boat,People & Body,person-sport
1F6A3 200D 2640,minimally-qualified,🚣‍♀,woman rowing boat,People & Body,person-sport
1F6A3 1F3FB 200D 2640 FE0F,fully-qualified,🚣🏻‍♀️,woman rowing boat: light skin tone,People & Body,person-sport
1F6A3 1F3FB 200D 2640,minimally-qualified,🚣🏻‍♀,woman rowing boat: light skin tone,People & Body,person-sport
1F6A3 1F3FC 200D 2640 FE0F,fully-qualified,🚣🏼‍♀️,woman rowing boat: medium-light skin tone,People & Body,person-sport
1F6A3 1F3FC 200D 2640,minimally-qualified,🚣🏼‍♀,woman rowing boat: medium-light skin tone,People & Body,person-sport
1F6A3 1F3FD 200D 2640 FE0F,fully-qualified,🚣🏽‍♀️,woman rowing boat: medium skin tone,People & Body,person-sport
1F6A3 1F3FD 200D 2640,minimally-qualified,🚣🏽‍♀,woman rowing boat: medium skin tone,People & Body,person-sport
1F6A3 1F3FE 200D 2640 FE0F,fully-qualified,🚣🏾‍♀️,woman rowing boat: medium-dark skin tone,People & Body,person-sport
1F6A3 1F3FE 200D 2640,minimally-qualified,🚣🏾‍♀,woman rowing boat: medium-dark skin tone,People & Body,person-sport
1F6A3 1F3FF 200D 2640 FE0F,fully-qualified,🚣🏿‍♀️,woman rowing boat: dark skin tone,People & Body,person-sport
1F6A3 1F3FF 200D 2640,minimally-qualified,🚣🏿‍♀,woman rowing boat: dark skin tone,People & Body,person-sport
1F3CA,fully-qualified,🏊,person swimming,People & Body,person-sport
1F3CA 1F3FB,fully-qualified,🏊🏻,person swimming: light skin tone,People & Body,person-sport
1F3CA 1F3FC,fully-qualified,🏊🏼,person swimming: medium-light skin tone,People & Body,person-sport
1F3CA 1F3FD,fully-qualified,🏊🏽,person swimming: medium skin tone,People & Body,person-sport
1F3CA 1F3FE,fully-qualified,🏊🏾,person swimming: medium-dark skin tone,People & Body,person-sport
1F3CA 1F3FF,fully-qualified,🏊🏿,person swimming: dark skin tone,People & Body,person-sport
1F3CA 200D 2642 FE0F,fully-qualified,🏊‍♂️,man swimming,People & Body,person-sport
1F3CA 200D 2642,minimally-qualified,🏊‍♂,man swimming,People & Body,person-sport
1F3CA 1F3FB 200D 2642 FE0F,fully-qualified,🏊🏻‍♂️,man swimming: light skin tone,People & Body,person-sport
1F3CA 1F3FB 200D 2642,minimally-qualified,🏊🏻‍♂,man swimming: light skin tone,People & Body,person-sport
1F3CA 1F3FC 200D 2642 FE0F,fully-qualified,🏊🏼‍♂️,man swimming: medium-light skin tone,People & Body,person-sport
1F3CA 1F3FC 200D 2642,minimally-qualified,🏊🏼‍♂,man swimming: medium-light skin tone,People & Body,person-sport
1F3CA 1F3FD 200D 2642 FE0F,fully-qualified,🏊🏽‍♂️,man swimming: medium skin tone,People & Body,person-sport
1F3CA 1F3FD 200D 2642,minimally-qualified,🏊🏽‍♂,man swimming: medium skin tone,People & Body,person-sport
1F3CA 1F3FE 200D 2642 FE0F,fully-qualified,🏊🏾‍♂️,man swimming: medium-dark skin tone,People & Body,person-sport
1F3CA 1F3FE 200D 2642,minimally-qualified,🏊🏾‍♂,man swimming: medium-dark skin tone,People & Body,person-sport
1F3CA 1F3FF 200D 2642 FE0F,fully-qualified,🏊🏿‍♂️,man swimming: dark skin tone,People & Body,person-sport
1F3CA 1F3FF 200D 2642,minimally-qualified,🏊🏿‍♂,man swimming: dark skin tone,People & Body,person-sport
1F3CA 200D 2640 FE0F,fully-qualified,🏊‍♀️,woman swimming,People & Body,person-sport
1F3CA 200D 2640,minimally-qualified,🏊‍♀,woman swimming,People & Body,person-sport
1F3CA 1F3FB 200D 2640 FE0F,fully-qualified,🏊🏻‍♀️,woman swimming: light skin tone,People & Body,person-sport
1F3CA 1F3FB 200D 2640,minimally-qualified,🏊🏻‍♀,woman swimming: light skin tone,People & Body,person-sport
1F3CA 1F3FC 200D 2640 FE0F,fully-qualified,🏊🏼‍♀️,woman swimming: medium-light skin tone,People & Body,person-sport
1F3CA 1F3FC 200D 2640,minimally-qualified,🏊🏼‍♀,woman swimming: medium-light skin tone,People & Body,person-sport
1F3CA 1F3FD 200D 2640 FE0F,fully-qualified,🏊🏽‍♀️,woman swimming: medium skin tone,People & Body,person-sport
1F3CA 1F3FD 200D 2640,minimally-qualified,🏊🏽‍♀,woman swimming: medium skin tone,People & Body,person-sport
1F3CA 1F3FE 200D 2640 FE0F,fully-qualified,🏊🏾‍♀️,woman swimming: medium-dark skin tone,People & Body,person-sport
1F3CA 1F3FE 200D 2640,minimally-qualified,🏊🏾‍♀,woman swimming: medium-dark skin tone,People & Body,person-sport
1F3CA 1F3FF 200D 2640 FE0F,fully-qualified,🏊🏿‍♀️,woman swimming: dark skin tone,People & Body,person-sport
1F3CA 1F3FF 200D 2640,minimally-qualified,🏊🏿‍♀,woman swimming: dark skin tone,People & Body,person-sport
26F9 FE0F,fully-qualified,⛹️,person bouncing ball,People & Body,person-sport
26F9,unqualified,⛹,person bouncing ball,People & Body,person-sport
